price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,area_name,city,country,Latitude,Longitude,purpose
3350000,High,Townhouse,3,4,"Maya Townhouses, Living Legends, Dubai",Unfurnished,Ready,2024-04-18,0,Unknown,0,0,0,0,0,Living Legends,Dubai,UAE,25.0850789,55.2981217,For Sale
2200000,Medium,Townhouse,4,3,"Bloom Living, Zayed City, Abu Dhabi",Unfurnished,Off-Plan,2024-04-21,0,Unknown,0,0,0,0,0,Zayed City,Abu Dhabi,UAE,23.6515354,53.7019687,For Sale
630000,Average,Apartment,1,2,"Al Reef Downtown, Al Reef, Abu Dhabi",Unfurnished,Ready,2024-04-02,69020,Unknown,0,0,0,0,0,Al Reef,Abu Dhabi,UAE,24.4664366,54.65689142777212,For Sale
6000000,High,Villa,5,7,"Cordoba, Bloom Living, Zayed City, Abu Dhabi",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Zayed City,Abu Dhabi,UAE,24.36917605,54.59059179361312,For Sale
2599999,Medium,Townhouse,3,4,"Cherrywoods, Dubailand, Dubai",Unfurnished,Ready,2024-03-01,178662,Unknown,0,0,0,0,0,Dubailand,Dubai,UAE,25.05865715,55.245999207609245,For Sale
2252399,Medium,Apartment,2,3,"Diamond Building, Jumeirah Garden City, Al Satwa, Dubai",Furnished,Ready,2024-03-11,95468,Unknown,0,0,0,0,0,Al Satwa,Dubai,UAE,25.2208602,55.2737617,For Sale
4400000,High,Apartment,2,3,"Grove Uptown Views, Saadiyat Grove, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-15,0,Unknown,0,0,0,0,0,Saadiyat Island,Abu Dhabi,UAE,24.54597235,54.44368803118431,For Sale
1500000,Medium,Apartment,2,2,"The Community, Motor City, Dubai",Unfurnished,Off-Plan,2024-04-06,0,Unknown,0,0,0,0,0,Motor City,Dubai,UAE,25.0476902,55.23820948643042,For Sale
2070000,Medium,Apartment,3,4,"The Boardwalk Residence, City of Lights, Al Reem Island, Abu Dhabi",Unfurnished,Ready,2024-04-20,102619,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
900000,Average,Apartment,1,1,"Water's Edge, Yas Island, Abu Dhabi",Unfurnished,Ready,2024-04-17,61294,Unknown,0,0,0,0,0,Yas Island,Abu Dhabi,UAE,24.48640395,54.60907120866904,For Sale
3000000,High,Villa,4,6,"Ajmal Makan, Sharjah Waterfront City, Sharjah",Unfurnished,Off-Plan,2024-04-03,0,Unknown,0,0,0,0,0,Sharjah Waterfront City,Sharjah,UAE,25.503021,55.521243,For Sale
3500000,High,Apartment,2,2,"Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",Furnished,Ready,2024-04-18,160655,BLVD CENTRAL 2,2010,0,21,181,0,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale
4575000,High,Apartment,3,4,"Aeternitas Tower, Dubai Marina, Dubai",Unfurnished,Off-Plan,2024-03-14,0,Unknown,0,0,0,0,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale
2191125,Medium,Apartment,2,3,"Diamond Building, Jumeirah Garden City, Al Satwa, Dubai",Furnished,Ready,2024-03-07,92873,Unknown,0,0,0,0,0,Al Satwa,Dubai,UAE,25.2208602,55.2737617,For Sale
1423200,Medium,Apartment,2,3,"Radiant Viewz 1, Radiant Square, City of Lights, Al Reem Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-08,0,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
2100000,Medium,Apartment,2,2,"Ansam 2, Ansam, Yas Island, Abu Dhabi",Unfurnished,Ready,2024-04-04,153564,Unknown,0,0,0,0,0,Yas Island,Abu Dhabi,UAE,24.48640395,54.60907120866904,For Sale
330000,Average,Apartment,1,2,"City Tower, Al Nuaimiya 3, Al Nuaimiya, Ajman",Unfurnished,Ready,2024-04-12,21809,Unknown,0,0,0,0,0,Al Nuaimiya,Ajman,UAE,25.3869225,55.4388907,For Sale
2350000,Medium,Villa,3,5,"Shoumous Residential Complex, Sharjah Garden City, Sharjah",Unfurnished,Off-Plan,2024-03-25,0,Unknown,0,0,0,0,0,Sharjah Garden City,Sharjah,UAE,25.196622,55.635824,For Sale
1250000,Average,Apartment,1,1,"Socio Tower B, Socio, Dubai Hills Estate, Dubai",Unfurnished,Ready,2024-02-29,95933,Socio Tower 2,2023,0,13,263,4,Dubai Hills Estate,Dubai,UAE,25.09872095,55.25394008697513,For Sale
399999,Average,Apartment,0,1,"Noor Residences, Maryam Gate Residences, Maryam Island, Al Khan, Sharjah",Unfurnished,Ready,2024-04-19,33984,Unknown,0,0,0,0,0,Al Khan,Sharjah,UAE,25.3223781,55.3593947475409,For Sale
2000000,Medium,Apartment,2,2,"Al Hadeel, Al Raha Beach, Abu Dhabi",Unfurnished,Ready,2022-11-17,122705,Unknown,0,0,0,0,0,Al Raha Beach,Abu Dhabi,UAE,24.48593095,54.60093932996362,For Sale
915588,Average,Apartment,1,2,"Weybridge Gardens, Dubai Residence Complex, Dubai",Furnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Dubai Residence Complex,Dubai,UAE,25.0930937,55.38032579883814,For Sale
1350000,Average,Villa,5,7,"Al Yasmeen, Ajman",Unfurnished,Ready,2024-03-20,99231,Unknown,0,0,0,0,0,Al Yasmeen,Ajman,UAE,25.4019945,55.5066576,For Sale
1500000,Medium,Apartment,2,3,"Meera Shams Tower 2, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",Unfurnished,Ready,2024-04-15,80698,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
1640000,Medium,Apartment,2,2,"Fox Hill 4, Fox Hill, Uptown Motor City, Motor City, Dubai",Unfurnished,Ready,2024-04-24,174822,Unknown,0,0,0,0,0,Motor City,Dubai,UAE,25.0476902,55.23820948643042,For Sale
1538000,Medium,Apartment,2,2,"Riviera Chalet, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Unfurnished,Off-Plan,2024-04-17,0,Unknown,0,0,0,0,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale
3185000,High,Apartment,2,4,"Al Hallawi, Shoreline Apartments, Palm Jumeirah, Dubai",Unfurnished,Ready,2023-08-09,208676,Al Hallawi,2009,0,11,245,0,Palm Jumeirah,Dubai,UAE,25.1180879,55.1342009,For Sale
3300000,High,Villa,5,6,"Nasma Residence, Al Tai, Sharjah",Unfurnished,Ready,2024-04-24,172514,Unknown,0,0,0,0,0,Al Tai,Sharjah,UAE,15.175847,43.351928,For Sale
1500000,Medium,Apartment,3,4,"Crystal Residences, Maryam Island, Al Khan, Sharjah",Unfurnished,Off-Plan,2024-04-14,0,Unknown,0,0,0,0,0,Al Khan,Sharjah,UAE,25.3223781,55.3593947475409,For Sale
1400000,Medium,Apartment,1,1,"Park Lane, Dubai Hills Estate, Dubai",Unfurnished,Off-Plan,2024-04-06,0,Unknown,0,0,0,0,0,Dubai Hills Estate,Dubai,UAE,25.09872095,55.25394008697513,For Sale
4300000,High,Residential Plot,1,2,"Saadiyat Reserve, Saadiyat Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-20,0,Unknown,0,0,0,0,0,Saadiyat Island,Abu Dhabi,UAE,24.54597235,54.44368803118431,For Sale
950000,Average,Townhouse,4,6,"Al Yasmeen, Ajman",Unfurnished,Ready,2024-04-03,0,Unknown,0,0,0,0,0,Al Yasmeen,Ajman,UAE,25.4019945,55.5066576,For Sale
1485000,Medium,Apartment,2,3,"Tiraz, Naseej District, Aljada, Sharjah",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Aljada,Sharjah,UAE,25.31816755,55.47543407937037,For Sale
4795000,High,Townhouse,5,6,"Sharjah Garden City, Sharjah",Unfurnished,Off-Plan,2024-04-22,0,Unknown,0,0,0,0,0,Sharjah Garden City,Sharjah,UAE,25.196622,55.635824,For Sale
875000,Average,Apartment,1,2,"Tala Tower, Marina Square, Al Reem Island, Abu Dhabi",Furnished,Ready,2023-07-31,74378,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
610000,Average,Apartment,2,3,"Ajman One Towers, Al Sawan, Ajman",Unfurnished,Ready,2024-04-23,38509,Unknown,0,0,0,0,0,Al Sawan,Ajman,UAE,25.39777,55.4377412,For Sale
2399999,Medium,Townhouse,3,4,"Noya Viva, Noya, Yas Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-22,0,Unknown,0,0,0,0,0,Yas Island,Abu Dhabi,UAE,24.48640395,54.60907120866904,For Sale
1350000,Average,Townhouse,2,3,"Rukan 3, Rukan, Dubailand, Dubai",Furnished,Off-Plan,2024-04-15,0,Unknown,0,0,0,0,0,Dubailand,Dubai,UAE,25.05865715,55.245999207609245,For Sale
474000,Average,Apartment,1,2,"Verdana Residence, Dubai Investment Park (DIP), Dubai",Unfurnished,Off-Plan,2024-04-18,0,Unknown,0,0,0,0,0,Dubai Investment Park (DIP),Dubai,UAE,24.983282,55.179132,For Sale
2900000,Medium,Villa,3,4,"Bawabat Al Sharq, Baniyas, Abu Dhabi",Unfurnished,Ready,2023-11-03,117495,Unknown,0,0,0,0,0,Baniyas,Abu Dhabi,UAE,24.488919,54.3625614,For Sale
3477500,High,Apartment,4,5,"Nikki Beach Residences, Al Marjan Island, Ras Al Khaimah",Unfurnished,Off-Plan,2024-02-26,0,Unknown,0,0,0,0,0,Al Marjan Island,Ras Al Khaimah,UAE,25.6810601,55.7432555,For Sale
3000000,High,Villa,4,5,"Ajmal Makan, Sharjah Waterfront City, Sharjah",Unfurnished,Off-Plan,2024-04-18,0,Unknown,0,0,0,0,0,Sharjah Waterfront City,Sharjah,UAE,25.503021,55.521243,For Sale
550000,Average,Residential Plot,1,2,"Al Amerah, Ajman",Unfurnished,Ready,2024-02-13,0,Unknown,0,0,0,0,0,Al Amerah,Ajman,UAE,25.391331,55.580864,For Sale
2475000,Medium,Townhouse,3,3,"Mira 1, Mira, Reem, Dubai",Unfurnished,Ready,2024-03-05,165691,Unknown,0,0,0,0,0,Reem,Dubai,UAE,25.0315993,55.275689057829474,For Sale
2399999,Medium,Villa,3,4,"Mudon Al Ranim 4, Mudon Al Ranim, Mudon, Dubai",Unfurnished,Off-Plan,2024-03-25,0,Unknown,0,0,0,0,0,Mudon,Dubai,UAE,25.0204108,55.2679936,For Sale
2130000,Medium,Villa,3,4,"Azalea, Masaar, Tilal City, Sharjah",Unfurnished,Off-Plan,2024-04-14,0,Unknown,0,0,0,0,0,Tilal City,Sharjah,UAE,25.266157,55.584146,For Sale
310000,Average,Residential Plot,4,5,"Al Sehma, Sharjah",Unfurnished,Ready,2024-04-06,0,Unknown,0,0,0,0,0,Al Sehma,Sharjah,UAE,25.2697026,55.62420644297271,For Sale
2399999,Medium,Villa,3,4,"Amaranta 2, Amaranta, Villanova, Dubailand, Dubai",Unfurnished,Ready,2024-04-03,145592,Unknown,0,0,0,0,0,Dubailand,Dubai,UAE,25.05865715,55.245999207609245,For Sale
850000,Average,Apartment,1,2,"Fortunato, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Unfurnished,Ready,2024-02-28,84450,Fortunato 1,2014,0,5,455,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale
660000,Average,Apartment,0,1,"Azizi Venice, Dubai South, Dubai",Furnished,Off-Plan,2023-12-02,0,Unknown,0,0,0,0,0,Dubai South,Dubai,UAE,24.9144391,55.1615128,For Sale
3900000,High,Apartment,2,3,"Sea La Vie, Yas Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-20,0,Unknown,0,0,0,0,0,Yas Island,Abu Dhabi,UAE,24.4940223,54.6073721,For Sale
1385000,Medium,Apartment,1,2,"Al Barza, Al Bandar, Al Raha Beach, Abu Dhabi",Unfurnished,Ready,2024-03-02,95123,Unknown,0,0,0,0,0,Al Raha Beach,Abu Dhabi,UAE,24.48593095,54.60093932996362,For Sale
890000,Average,Apartment,1,2,"Burooj Views, Marina Square, Al Reem Island, Abu Dhabi",Unfurnished,Ready,2024-01-30,58324,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
1367000,Average,Apartment,2,3,"Cluster A, Royal Park, Masdar City, Abu Dhabi",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Masdar City,Abu Dhabi,UAE,24.42748265,54.6234876171374,For Sale
363000,Average,Apartment,0,1,"Blue Pearls, Ajmal Makan, Sharjah Waterfront City, Sharjah",Unfurnished,Off-Plan,2024-04-25,0,Unknown,0,0,0,0,0,Sharjah Waterfront City,Sharjah,UAE,25.503021,55.521243,For Sale
1730000,Medium,Townhouse,2,3,"Bloom Living, Zayed City, Abu Dhabi",Unfurnished,Off-Plan,2024-03-01,0,Unknown,0,0,0,0,0,Zayed City,Abu Dhabi,UAE,23.6515354,53.7019687,For Sale
1200000,Average,Apartment,2,3,"Tiraz, Naseej District, Aljada, Sharjah",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Aljada,Sharjah,UAE,25.31816755,55.47543407937037,For Sale
658719,Average,Apartment,2,3,"Al Ameera Village, Ajman",Furnished,Off-Plan,2024-03-13,0,Unknown,0,0,0,0,0,Al Ameera Village,Ajman,UAE,25.37861155,55.57355505,For Sale
2150000,Medium,Apartment,2,2,"Viewz 1 by Danube, Viewz by Danube, Jumeirah Lake Towers (JLT), Dubai",Furnished,Off-Plan,2024-04-18,0,Unknown,0,0,0,0,0,Jumeirah Lake Towers (JLT),Dubai,UAE,25.0690625,55.141165591907736,For Sale
1949999,Medium,Apartment,2,3,"Al Badia Condo 3, Al Badia Hillside Village, Dubai Festival City, Dubai",Unfurnished,Ready,2024-03-15,0,Al Badia Hillside 3,2014,0,6,53,0,Dubai Festival City,Dubai,UAE,25.2222708,55.3491663,For Sale
4250997,High,Apartment,1,2,"Al Habtoor Tower, Al Habtoor City, Business Bay, Dubai",Unfurnished,Off-Plan,2024-04-18,0,Unknown,0,0,0,0,0,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale
2375000,Medium,Villa,3,4,"Safi Townhouses, Town Square, Dubai",Unfurnished,Ready,2024-03-13,0,Unknown,0,0,0,0,0,Town Square,Dubai,UAE,25.01085145,55.28887629766314,For Sale
1850000,Medium,Townhouse,3,4,"Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",Unfurnished,Ready,2024-03-05,116275,Unknown,0,0,0,0,0,Dubai South,Dubai,UAE,24.9144391,55.1615128,For Sale
2300000,Medium,Townhouse,3,4,"Bloom Living, Zayed City, Abu Dhabi",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Zayed City,Abu Dhabi,UAE,23.6515354,53.7019687,For Sale
375000,Average,Residential Plot,0,1,"Rodhat Al Qrt, Sharjah",Unfurnished,Ready,2024-04-23,0,Unknown,0,0,0,0,0,Rodhat Al Qrt,Sharjah,UAE,25.2608497,55.6534848536274,For Sale
1713013,Medium,Apartment,1,2,"Royal Regency, Business Bay, Dubai",Unfurnished,Off-Plan,2024-03-14,0,Unknown,0,0,0,0,0,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale
3800000,High,Apartment,2,3,"Beach Mansion, Emaar Beachfront, Dubai Harbour, Dubai",Unfurnished,Off-Plan,2023-12-14,0,Unknown,0,0,0,0,0,Dubai Harbour,Dubai,UAE,25.0956188,55.13800090659106,For Sale
1400000,Medium,Apartment,2,2,"Water's Edge, Yas Island, Abu Dhabi",Unfurnished,Ready,2024-03-29,98816,Unknown,0,0,0,0,0,Yas Island,Abu Dhabi,UAE,24.48640395,54.60907120866904,For Sale
480000,Average,Apartment,0,1,"Red Square, JVT District 3, Jumeirah Village Triangle (JVT), Dubai",Furnished,Off-Plan,2024-04-18,0,Unknown,0,0,0,0,0,Jumeirah Village Triangle (JVT),Dubai,UAE,25.045564,55.187287,For Sale
1000000,Average,Apartment,2,3,"Azure Beach Residence by Eagle Hills, Maryam Island, Al Khan, Sharjah",Unfurnished,Ready,2024-04-22,86394,Unknown,0,0,0,0,0,Al Khan,Sharjah,UAE,25.3223781,55.3593947475409,For Sale
3300000,High,Apartment,1,1,"Seapoint, Emaar Beachfront, Dubai Harbour, Dubai",Unfurnished,Off-Plan,2024-04-15,0,Unknown,0,0,0,0,0,Dubai Harbour,Dubai,UAE,25.0956188,55.13800090659106,For Sale
490000,Average,Apartment,0,1,"Cyan Beach Residence by Eagle Hills, Maryam Island, Al Khan, Sharjah",Unfurnished,Ready,2023-12-26,27342,Unknown,0,0,0,0,0,Al Khan,Sharjah,UAE,25.3223781,55.3593947475409,For Sale
3500000,High,Apartment,1,2,"Louvre Abu Dhabi Residences, Saadiyat Grove, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-12,0,Unknown,0,0,0,0,0,Saadiyat Island,Abu Dhabi,UAE,24.54597235,54.44368803118431,For Sale
1750000,Medium,Apartment,3,4,"Marina Bay Tower 2, Marina Bay, City of Lights, Al Reem Island, Abu Dhabi",Unfurnished,Ready,2024-01-25,106566,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
2000000,Medium,Townhouse,3,3,"Portofino, DAMAC Lagoons, Dubai",Unfurnished,Off-Plan,2024-04-22,0,Unknown,0,0,0,0,0,DAMAC Lagoons,Dubai,UAE,25.017012,55.237944,For Sale
1380000,Medium,Apartment,3,4,"Faradis Tower, Al Mamzar, Sharjah",Furnished,Off-Plan,2024-04-21,0,Unknown,0,0,0,0,0,Al Mamzar,Sharjah,UAE,25.30845345,55.36713780872966,For Sale
1555000,Medium,Apartment,1,2,"Manarat Living, Saadiyat Island, Abu Dhabi",Unfurnished,Off-Plan,2024-03-08,0,Unknown,0,0,0,0,0,Saadiyat Island,Abu Dhabi,UAE,24.54597235,54.44368803118431,For Sale
1800000,Medium,Apartment,2,3,"Al Sana 1, Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",Furnished,Ready,2023-08-31,135091,Unknown,0,0,0,0,0,Al Raha Beach,Abu Dhabi,UAE,24.48593095,54.60093932996362,For Sale
699000,Average,Apartment,0,1,"Samana Barari Views, Majan, Dubai",Unfurnished,Off-Plan,2024-03-24,0,Unknown,0,0,0,0,0,Majan,Dubai,UAE,25.0929388,55.3184835,For Sale
2500000,Medium,Villa,4,5,"Sharjah Sustainable City, Shaghrafa 1, Al Rahmaniya, Sharjah",Unfurnished,Off-Plan,2024-04-23,0,Unknown,0,0,0,0,0,Al Rahmaniya,Sharjah,UAE,25.33455735,55.57830408329693,For Sale
1350000,Average,Apartment,2,3,"The Gate Tower 3, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",Furnished,Ready,2024-04-15,101390,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
1699999,Medium,Townhouse,3,5,"DAMAC Hills 2 (Akoya by DAMAC), Dubai",Unfurnished,Ready,2024-02-14,146868,Unknown,0,0,0,0,0,DAMAC Hills 2 (Akoya by DAMAC),Dubai,UAE,24.982883,55.37972,For Sale
2500000,Medium,Villa,3,4,"Spring, Arabian Ranches 3, Dubai",Unfurnished,Ready,2024-03-06,119576,Unknown,0,0,0,0,0,Arabian Ranches 3,Dubai,UAE,25.0651524,55.3227884007741,For Sale
3740000,High,Villa,4,5,"Anya 2, Arabian Ranches 3, Dubai",Unfurnished,Off-Plan,2024-04-22,0,Unknown,0,0,0,0,0,Arabian Ranches 3,Dubai,UAE,25.0651524,55.3227884007741,For Sale
2200000,Medium,Villa,4,5,"Santorini, DAMAC Lagoons, Dubai",Unfurnished,Off-Plan,2023-12-07,0,Unknown,0,0,0,0,0,DAMAC Lagoons,Dubai,UAE,25.017012,55.237944,For Sale
1625000,Medium,Apartment,1,2,"Viewz 1 by Danube, Viewz by Danube, Jumeirah Lake Towers (JLT), Dubai",Furnished,Off-Plan,2024-02-13,0,Unknown,0,0,0,0,0,Jumeirah Lake Towers (JLT),Dubai,UAE,25.0690625,55.141165591907736,For Sale
1400000,Medium,Apartment,0,1,"Louvre Abu Dhabi Residences, Saadiyat Grove, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",Unfurnished,Off-Plan,2024-01-30,0,Unknown,0,0,0,0,0,Saadiyat Island,Abu Dhabi,UAE,24.54597235,54.44368803118431,For Sale
1080000,Average,Apartment,1,2,"Rove Home Aljada, Aljada, Sharjah",Unfurnished,Off-Plan,2024-04-21,0,Unknown,0,0,0,0,0,Aljada,Sharjah,UAE,25.31816755,55.47543407937037,For Sale
768000,Average,Apartment,0,1,"Elitz by Danube, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Unfurnished,Off-Plan,2024-02-06,0,Unknown,0,0,0,0,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale
2600000,Medium,Apartment,4,5,"Faradis Tower, Al Mamzar, Sharjah",Furnished,Off-Plan,2024-04-21,0,Unknown,0,0,0,0,0,Al Mamzar,Sharjah,UAE,25.30845345,55.36713780872966,For Sale
4490000,High,Apartment,1,2,"Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",Unfurnished,Ready,2024-04-18,216116,Unknown,0,0,0,0,0,Saadiyat Island,Abu Dhabi,UAE,24.54597235,54.44368803118431,For Sale
899000,Average,Apartment,1,2,"The Gate Tower 3, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",Unfurnished,Ready,2024-04-15,71985,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
1730000,Medium,Villa,5,7,"Al Yasmeen, Ajman",Unfurnished,Ready,2024-04-14,105245,Unknown,0,0,0,0,0,Al Yasmeen,Ajman,UAE,25.4019945,55.5066576,For Sale
2700000,Medium,Villa,5,6,"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",Unfurnished,Ready,2024-01-24,124270,Unknown,0,0,0,0,0,Al Reef,Abu Dhabi,UAE,24.4664366,54.65689142777212,For Sale
970000,Average,Townhouse,4,6,"Al Zahya, Ajman",Unfurnished,Ready,2024-04-22,81340,Unknown,0,0,0,0,0,Al Zahya,Ajman,UAE,25.41401,55.596571,For Sale
1000000,Average,Apartment,1,1,"Burj View Residence, Arjan, Dubai",Unfurnished,Ready,2024-03-25,0,BURJ VIEW RESIDENCE,2023,0,6,200,0,Arjan,Dubai,UAE,25.0627549,55.2392983,For Sale
3219377,High,Apartment,1,2,"The Beach House, Al Marjan Island, Ras Al Khaimah",Unfurnished,Off-Plan,2024-04-22,0,Unknown,0,0,0,0,0,Al Marjan Island,Ras Al Khaimah,UAE,25.6810601,55.7432555,For Sale
750000,Average,Apartment,0,1,"Oxford Terraces, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Unfurnished,Off-Plan,2023-12-27,0,Unknown,0,0,0,0,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale
6000000,High,Residential Plot,5,8,"International City Phase 2 (Warsan 4), International City, Dubai",Unfurnished,Ready,2024-03-28,0,Unknown,0,0,0,0,0,International City,Dubai,UAE,25.1322737,55.39813984933585,For Sale
800000,Average,Apartment,1,2,"Crystal Residences, Maryam Island, Al Khan, Sharjah",Unfurnished,Off-Plan,2024-04-18,0,Unknown,0,0,0,0,0,Al Khan,Sharjah,UAE,25.3223781,55.3593947475409,For Sale
